Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,298.059998,369.019989,288.700012,353.859985,353.859985,206417400
2023-02-01,353.859985,379.429993,314.299988,322.130005,322.130005,123374100
2023-03-01,321.549988,345.839996,285.329987,345.480011,345.480011,157555400
2023-04-01,341.829987,349.799988,316.100006,329.929993,329.929993,127984500
2023-05-01,329.440002,405.109985,315.619995,395.230011,395.230011,145471700
2023-06-01,397.410004,448.649994,393.079987,440.489990,440.489990,147230800
2023-07-01,439.760010,485.000000,411.880005,438.970001,438.970001,168720200
2023-08-01,437.369995,445.250000,398.149994,433.679993,433.679993,107298900
2023-09-01,437.730011,453.450012,371.100006,377.600006,377.600006,100278600
2023-10-01,377.480011,418.839996,344.730011,411.690002,411.690002,164021900
2023-11-01,414.769989,482.700012,414.179993,473.970001,473.970001,71741400
2023-12-01,473.170013,475.230011,451.200012,453.899994,453.899994,9493400
2023-12-04,460.989990,461.170013,451.209991,453.899994,453.899994,4989380
